Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing
55J1306,424765,434441
55J1649,428980,431679
55J2155,427914,435313
55K0040,430265,433080
55K0525,439478,426194
55K0525,439478,426194
55K0609,422233,446012
55K0609,422233,446012
55K1139,427711,436104
55K1169,420806,445708
55K1202,428887,429810
55K1795,432394,434672
55L0313,422457,427904
55L1204,436265,435684
55L1229,432297,436292
55L1454,430933,440023
55L1454,430933,440023
55L1463,430471,427015
55L1702,423623,437575
55L1702,423623,437575
55L1702,423623,437575
55L1917,426677,433057
55M0373,430096,431414
55M0489,436160,435074
55M0984,430705,433630
55M1235,432135,432852
55M1302,420831,439703
55M1668,431239,434801
55M1734,429149,431740
55M1734,429149,431740
55M1834,433110,434022
55N0340,430227,431975
55N0424,425181,437793
55N1031,428938,433424
55N1254,431804,434661
55N1310,431302,429225
55N1413,420091,440771
55O0005,427515,436954
55O0285,437732,429769
55O0830,426869,434481
55O1002,423310,437670
55O1118,424092,435499
55O1222,419578,446223
55O1346,426828,433092
55O1346,426828,433092
55O1346,426828,433092
55P0367,425493,437544
55P0378,429598,432562
55P0584,424594,436056
55P0777,428749,436968
55Q0121,427695,433712
55Q0121,427695,433712
55Q0595,424134,444004
55Q0595,424134,444004
55Q0623,443394,438644
55Q0623,443394,438644
55Q0623,443394,438644
55Q0623,443394,438644
55Q0623,443394,438644
55Q0623,443394,438644
55Q0928,435798,425984
55Q0928,435798,425984
55Q1054,432144,429782
55Q1656,420375,434510
55Q1954,431390,435084
55R0199,430835,424377
55R1200,433666,426974
55R1207,433265,427394
55R1283,429771,436618
55S1168,424373,445355
55S1240,430352,432103
55S1373,428970,435429
55S1782,426647,433086
55S2111,433101,436478
55T0376,429371,425870
55T1172,442665,442288
55T1200,434466,433697
55T1409,423110,437625
55T1483,431493,435908
55U0327,438661,445954
55U0656,432179,434626
55U1341,429552,434169
55U1806,428888,429809
55U1806,428888,429809
55U1806,428888,429809
55U1806,428888,429809
55U1806,428888,429809
55U1806,428888,429809
55U1806,428888,429809
55V0596,422219,438385
55V1147,432664,437999
55V1147,432664,437999
55V1147,432664,437999
5610438,432125,425757
5611609,430973,440100
5611609,430973,440100
5611670,429892,434519
5611702,436813,436500
5611702,436813,436500
5611702,436813,436500
5611702,436813,436500
5611733,432541,434897
5620883,434642,428162
5630563,431639,437403
5630737,430101,431509
5631357,430543,432742
5632197,423522,444449
5640056,432487,434769
5640903,423926,427919
5640903,423926,427919
5641021,428431,428713
5641122,423289,434657
5641122,423289,434657
5641132,431460,434010
5641450,426257,432271
5641515,429766,430608
5650554,427120,439290
5650878,428449,429063
5650931,433546,425864
5651232,428624,425115
5651310,428909,435507
5660575,420212,445526
5661188,429966,430365
5670265,429799,433376
5670265,429799,433376
5670906,431487,435011
5670912,428510,433255
5671642,423084,434894
5680382,430035,431022
5681155,434860,433361
5681187,443087,440735
5681187,443087,440735
5681187,443087,440735
5681539,436120,431172
5681539,436120,431172
5681637,431572,428653
5681663,423722,433812
5681774,434355,435292
5690653,430469,433290
5690701,429637,427150
5690777,430536,435324
5691705,431490,438677
5691922,431954,436268
56A0284,428377,432677
56A1111,431175,434983
56A1164,429646,427586
56A1796,432418,434409
56B0186,428606,432845
56B0470,435392,433731
56B0642,419316,441749
56B0993,434965,428208
56B1397,428800,432634
56C1359,431217,433746
56C1698,429816,430653
56C1698,429816,430653
56D0552,424061,428050
56D1539,431851,435645
56E0477,435425,439800
56E0483,427021,433109
56E1004,427298,433626
56E1043,436009,437010
56E1968,436506,441867
56E1968,436506,441867
56F1240,429123,433540
56F1289,426225,427438
56F1480,423634,438019
56F2269,436458,436049
56G0286,430196,434008
56G1144,426840,427835
56G1647,430020,438556
56G1687,431015,427865
56H0513,424419,445278
56H0522,426853,437547
56H0777,430374,433502
56H0779,431461,430310
56H1218,428708,433138
56H1218,428708,433138
56H1218,428708,433138
56H1249,431489,433749
56H1480,426077,436637
56H1483,429830,433736
56H1715,426276,435597
56I0264,425123,428034
56I0264,425123,428034
56I0356,421998,438911
56I0372,427499,426327
56I0372,427499,426327
56I0385,427058,430758
56I1044,426445,433948
56I1044,426445,433948
56I1098,432546,427813
56I1214,420890,441113
56I1471,427302,433638
56J0051,432498,430688
56J0328,425544,435379
56J0328,425544,435379
56J0342,424180,435567
56J0489,431194,427053
56J0552,418233,442442
56J0552,418233,442442
56J1036,429190,433851
56J1096,430430,433883
56J1324,431247,445731
56J2283,425705,436955
56K0452,430831,439690
56K1462,428311,429586
56K1462,428311,429586
56K1643,426905,439378
56K1979,425730,435662
56L0315,437312,429479
56L0680,428977,432365
56L1162,433071,427619
56L1295,431529,430535
56L1295,431529,430535
56L1893,427222,435212
56M0359,432354,434946
56M0434,428679,445080
56M0434,428679,445080
56M0710,431447,428038
56M0879,426776,435504
56M1193,429185,433852
56N2060,436730,428794
56O0370,426661,441798
56O1258,445928,431195
56O1466,429369,433781
56O1555,433722,434978
56O1743,430268,434077
56P0363,419776,434046
56P0416,427482,437000
56P0740,429694,432311
56P1224,421854,433953
56P1224,421854,433953
56P1254,427127,439287
56P1418,433274,426151
56P1524,431510,435135
56P1541,430871,436845
56P1601,427370,433647
56P1737,435062,435758
56Q0406,434622,441226
56Q0406,434622,441226
56Q0491,429434,433461
56Q1275,427490,431336
56Q1543,432057,435968
56R0168,425072,435189
56R0350,428116,426285
56R0934,435700,436973
56R0934,435700,436973
56R0947,427915,433639
56R1097,430660,434702
56R1097,430660,434702
56R1163,431417,434272
56R1266,434937,434644
56R1295,436445,434702
56R1295,436445,434702
56R2028,429369,433781
56S0317,428272,426395
56S0317,428272,426395
56S0317,428272,426395
56S0411,435025,436373
56S0456,429390,433815
56S0469,432055,435969
56S0632,427181,435270
56S1005,431697,426392
56S1258,429340,437270
56S1295,434482,434612
56S1295,434482,434612
56S1307,428661,426428
56S1307,428661,426428
56S1737,419270,446311
56T0678,428224,429487
56T1690,429456,434910
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0377,426218,434033
56U0377,426218,434033
56U0755,430667,433655
56U0755,430667,433655
56U1100,428438,435711
56U1218,428369,431617
56U1218,428369,431617
56U1218,428369,431617
56U1218,428369,431617
56U1218,428369,431617
56U1570,430931,429752
56U1571,430000,438583
56U1853,431717,436074
5710014,430028,433333
5710764,429120,432170
5711414,430939,435679
5711464,440475,447662
5711538,427636,435972
5711568,443302,445917
5711568,443302,445917
5712160,430794,431964
5720328,433362,425663
5720330,431071,434566
5721098,430892,433813
5721294,426440,428516
5721335,431343,433944
5721335,431343,433944
5721647,422818,435383
5721924,424118,428137
5721924,424118,428137
5721924,424118,428137
5722273,425925,426689
5730296,440438,446501
5730296,440438,446501
5730426,436160,436039
5730829,432149,434962
5731011,430838,434444
5731394,431646,435322
5731394,431646,435322
5740995,428408,432474
5741533,431863,435667
5741767,427035,431627
5741979,429888,431110
5750302,429442,430221
5750710,425099,440609
5751085,436172,434557
5751468,429305,431834
5751481,431427,432648
5751481,431427,432648
5752001,424742,434883
5760486,430006,428095
5760933,427979,430315
5761009,421953,436530
5761009,421953,436530
5761164,441722,444181
5762393,427452,431884
5762393,427452,431884
5762412,429163,431600
5770746,421915,446013
5772001,432042,435570
5781839,427061,431802
5781839,427061,431802
5781839,427061,431802
5791589,430068,435412
5792001,430802,433273
5792001,430802,433273
5792001,430802,433273
5792001,430802,433273
5792363,431969,435837
5792363,431969,435837
5792363,431969,435837
57A0418,432398,433687
57B0236,432444,433799
57B1301,420308,434231
57B1427,429847,430831
57B1616,423847,443911
57B2176,428430,434981
57C0143,425336,432728
57C1009,428550,435467
57C1466,422932,435659
57D0603,430996,428274
57D0744,436781,434702
57D0744,436781,434702
57D1562,422350,428532
57D1870,428514,433060
57D1870,428514,433060
57D2007,432191,438846
57E0882,428834,434633
57E0882,428834,434633
57E1689,436543,436647
57F0738,421705,435585
57F1030,426408,428193
57F1049,425400,440556
57F1049,425400,440556
57F2058,431966,431243
57F2058,431966,431243
57G1209,426853,441340
57G1209,426853,441340
57G1403,430036,432503
57G1439,424578,435162
57G1530,443381,428630
57G1530,443381,428630
57G1531,430141,429926
57G2090,430781,438592
57H0311,422880,439314
57H0504,425725,442965
57H0567,428775,425802
57H1464,439141,432086
57H1760,429933,427362
57I0949,430757,438842
57I1268,424470,433644
57I1268,424470,433644
57J0417,426992,437455
57J0445,436005,435768
57K0391,431365,433768
57K1327,420961,439970
57K1628,429125,433510
57K1685,427740,425074
57K2129,421723,435141
57K2129,421723,435141
57M1205,436311,435756
57M1356,421192,440443
